Rank,Name,Symbol,Price (USD),Market Cap,Vol (24H),Total Vol,Chg (24H),Chg (7D),Dataset Availability
1,Bitcoin,BTC,45937.0,$871.96B,$31.55B,29.08%,-1.04%,-4.44%,True
2,Ethereum,ETH,3497.13,$418.99B,$18.28B,16.85%,+0.29%,+1.90%,True
3,Tether,USDT,1.0003,$82.35B,$78.18B,72.08%,0%,-0.01%,True
4,BNB,BNB,443.21,$73.11B,$2.25B,2.07%,-1.10%,+0.82%,True
5,USD Coin,USDC,0.9997,$51.70B,$4.10B,3.78%,0%,+0.06%,True
6,Solana,SOL,130.621,$42.50B,$2.72B,2.51%,-3.48%,+16.45%,True
7,Terra,LUNA,115.4911,$40.62B,$2.31B,2.13%,+3.06%,+14.10%,True
8,Cardano,ADA,1.1909,$40.08B,$2.33B,2.15%,+0.86%,-2.96%,True
9,XRP,XRP,0.82129,$39.53B,$1.83B,1.69%,-2.24%,-8.88%,True
10,Avalanche,AVAX,94.38,$25.15B,$1.26B,1.17%,-2.31%,-1.28%,True
11,Polkadot,DOT,22.354,$22.08B,$1.10B,1.02%,-2.98%,-2.38%,True
12,Dogecoin,DOGE,0.14498,$19.23B,$2.16B,1.99%,-0.26%,-4.04%,True
13,Binance USD,BUSD,0.9997,$17.79B,$5.66B,5.22%,0%,+0.02%,True
14,TerraUSD,UST,1.001,$16.60B,$540.04M,0.50%,+0.10%,+0.05%,True
15,SHIBA INU,SHIB,2.6e-05,$14.47B,$1.14B,1.05%,-1.28%,-8.58%,True
16,Polygon,MATIC,1.64,$12.69B,$681.25M,0.63%,-2.04%,-5.81%,True
17,Wrapped Bitcoin,WBTC,45948.0,$12.61B,$181.37M,0.17%,-1.04%,-4.60%,True
18,Cronos,CRO,0.4738,$11.96B,$79.57M,0.07%,-1.26%,-5.11%,True
19,NEAR Protocol,NEAR,17.174,$11.22B,$1.77B,1.63%,+5.99%,+28.04%,True
20,Dai,DAI,0.99971,$9.50B,$305.82M,0.28%,+0.04%,-0.02%,True
21,Cosmos,ATOM,30.9464,$8.85B,$972.55M,0.90%,-2.44%,-0.76%,True
22,Litecoin,LTC,123.3,$8.62B,$854.60M,0.79%,-2.53%,-6.24%,True
23,Chainlink,LINK,17.23,$8.03B,$704.37M,0.65%,-4.05%,+0.05%,True
24,Uniswap,UNI,11.403,$7.83B,$324.78M,0.30%,-2.61%,-0.60%,True
25,TRON,TRX,0.069962,$7.11B,$1.45B,1.34%,-3.99%,-1.71%,True
26,Bitcoin Cash,BCH,370.7,$7.05B,$4.85B,4.47%,-0.99%,-3.08%,True
27,FTX Token,FTT,49.6987,$6.82B,$115.31M,0.11%,-1.15%,-6.55%,True
28,Ethereum Classic,ETC,46.1227,$6.17B,$1.30B,1.20%,-0.89%,-3.19%,True
29,Algorand,ALGO,0.8795,$5.83B,$256.55M,0.24%,-4.54%,-8.38%,True
30,Stellar,XLM,0.22984,$5.67B,$346.89M,0.32%,-1.65%,-3.92%,True
31,UNUS SED LEO,LEO,5.9352,$5.66B,$6.05M,0.01%,-1.15%,-3.88%,True
32,VeChain,VET,0.07819,$5.00B,$448.14M,0.41%,-3.04%,+3.08%,True
33,Decentraland,MANA,2.6217,$4.82B,$457.28M,0.42%,-2.49%,-6.84%,True
34,Bitcoin BEP2,BTCB,43867.48,$4.81B,$31.08M,0.03%,-1.06%,-4.70%,True
35,Internet Computer,ICP,21.42,$4.65B,$396.53M,0.37%,-1.65%,-4.57%,True
36,Hedera,HBAR,0.23595,$4.61B,$80.99M,0.07%,-3.56%,-5.13%,True
37,Filecoin,FIL,24.27,$4.53B,$639.59M,0.59%,-3.24%,-5.12%,True
38,Elrond,EGLD,188.81,$4.10B,$158.57M,0.15%,-3.24%,-7.28%,True
39,Monero,XMR,220.073,$3.98B,$134.82M,0.12%,+2.70%,+0.40%,True
40,The Sandbox,SAND,3.391,$3.92B,$649.11M,0.60%,-2.68%,-7.15%,True
41,Fantom,FTM,1.5343,$3.90B,$706.03M,0.65%,-3.21%,+3.98%,True
42,Axie Infinity,AXS,63.1814,$3.84B,$499.39M,0.46%,-4.25%,-12.20%,True
43,Theta Network,THETA,3.7672,$3.76B,$311.38M,0.29%,-6.24%,-0.86%,True
44,Waves,WAVES,34.1522,$3.74B,$1.94B,1.78%,-25.69%,-11.36%,True
45,THORChain,RUNE,10.667,$3.52B,$197.11M,0.18%,-4.79%,+1.05%,True
46,Tezos,XTZ,3.83493,$3.41B,$127.69M,0.12%,-3.37%,-2.05%,True
47,ApeCoin,APE,11.752,$3.24B,$467.50M,0.43%,-2.78%,-22.20%,True
48,Aave,AAVE,236.87,$3.22B,$358.44M,0.33%,-2.36%,+32.90%,True
49,Klaytn,KLAY,1.1469,$3.18B,$122.52M,0.11%,-0.61%,-6.84%,True
50,Helium,HNT,24.44,$2.81B,$86.33M,0.08%,-7.56%,-3.67%,True
51,EOS,EOS,2.8103,$2.77B,$792.28M,0.73%,+0.41%,-5.68%,True
52,PancakeSwap,CAKE,9.64,$2.69B,$451.52M,0.42%,+1.79%,+15.17%,True
53,Flow,FLOW,7.0904,$2.53B,$121.08M,0.11%,-3.96%,-0.03%,True
54,Zcash,ZEC,170.77,$2.39B,$257.13M,0.24%,-2.66%,-15.92%,True
55,IOTA,MIOTA,0.85429,$2.37B,$49.53M,0.05%,-3.86%,-3.55%,True
56,The Graph,GRT,0.48554,$2.28B,$359.34M,0.33%,-4.82%,+3.21%,True
57,Maker,MKR,2324.04,$2.27B,$123.66M,0.11%,+1.63%,+8.17%,True
58,eCash,XEC,0.00010808,$2.05B,$146.61M,0.14%,-7.13%,+9.43%,True
59,Convex Finance,CVX,36.25,$2.03B,$54.07M,0.05%,-2.19%,+12.65%,True
60,BitTorrent (New),BTT,0.0,$2.00B,$204.86M,0.19%,-3.78%,-0.36%,True
